instrument_name,industry,total_percentage,fund_count
"ICICI Bank Limited","Banks",3488.3563,557
"HDFC Bank Limited","Banks",2999.5588,518
"Reliance Industries Limited","Petroleum Products",1834.0125,403
"Bharti Airtel Limited","Telecom - Services",1652.6976,400
"State Bank of India","Banks",1527.739,366
"Axis Bank Limited","Banks",1373.6009,334
"Infosys Limited","It - Software",1005.18,218
"Kotak Mahindra Bank Limited","Banks",973.8018,245
"Larsen & Toubro Limited","Construction",926.2337,249
"Eternal Limited","Retailing",914.9238,236
"Mahindra & Mahindra Limited","Automobiles",912.4451,237
"Bajaj Finance Limited","Finance",643.8047,189
"Sun Pharmaceutical Industries Ltd.","Pharmaceuticals & Biotechnology",552.8573,129
"Tata Consultancy Services Limited","It - Software",550.1947,122
"Divi's Laboratories Limited","Pharmaceuticals & Biotechnology",517.2698,118
"Shriram Finance Limited","Finance",489.9522,139
"Maruti Suzuki India Ltd.","Automobiles",471.4509,119
"Multi Commodity Exchange of India Ltd.","Capital Markets",429.1918,115
"NTPC Limited","Power",426.7614,114
"ITC Limited","Diversified Fmcg",403.5463,118
"TVS Motor Company Limited","Automobiles",401.792,111
"Titan Company Limited","Consumer Durables",392.7536,115
"The Federal Bank Limited","Banks",380.6922,110
"Torrent Pharmaceuticals Limited","Pharmaceuticals & Biotechnology",378.7623,110
"Coforge Ltd.","It - Software",350.8034,99
"One 97 Communications Limited","Financial Technology (fintech)",337.5454,95
"Bajaj Auto Limited","Automobiles",330.4165,87
"Interglobe Aviation Ltd.","Transport Services",317.7665,89
"Bharat Electronics Limited","Aerospace & Defense",312.4387,74
"Apollo Hospitals Enterprise Ltd.","Healthcare Services",308.6205,87
"Bharat Heavy Electricals Ltd.","Electrical Equipment",297.2694,84
"Samvardhana Motherson International Ltd.","Auto Components",296.4493,84
"Aurobindo Pharma Limited","Pharmaceuticals & Biotechnology",295.0198,65
"Eicher Motors Limited","Automobiles",291.7292,85
"Tech Mahindra Limited","It - Software",287.9717,72
"Hindustan Aeronautics Ltd.","Aerospace & Defense",285.4054,66
"Cummins India Limited","Industrial Products",281.8125,87
"Nestle India Limited","Food Products",274.9332,71
"Laurus Labs Ltd.","Pharmaceuticals & Biotechnology",265.3938,57
"BSE Limited","Capital Markets",259.9736,64
"Hindalco Industries Ltd.","Non - Ferrous Metals",258.7407,73
"PB Fintech Limited","Financial Technology (fintech)",249.0041,78
"HCL Technologies Ltd.","It - Software",247.6067,56
"Hindustan Unilever Ltd.","Diversified Fmcg",230.2453,56
"UltraTech Cement Limited","Cement & Cement Products",228.5995,75
"Bharat Forge Ltd.","Auto Components",224.254,62
