sector,fund_count
Banks,5817
Finance,5551
Consumer Durables,5165
Pharmaceuticals & Biotechnology,5023
Automobiles,4977
It - Software,4803
Telecom - Services,4781
Power,4718
Retailing,4651
Auto Components,4587
Capital Markets,4585
Industrial Products,4494
Healthcare Services,4442
Petroleum Products,4425
Electrical Equipment,4275
Construction,4266
Insurance,3892
Transport Services,3879
Cement & Cement Products,3835
Ferrous Metals,3632
Chemicals & Petrochemicals,3590
Aerospace & Defense,3580
Non - Ferrous Metals,3572
Realty,3559
Leisure Services,3142
Beverages,3050
Food Products,2972
Diversified Fmcg,2748
Financial Technology (fintech),2723
Agricultural Food & Other Products,2715
"Agricultural, Commercial & Construction Vehicles",2680
Industrial Manufacturing,2656
Transport Infrastructure,2583
Personal Products,2250
Oil,2192
Fertilizers & Agrochemicals,2048
It - Services,1948
Textiles & Apparels,1931
Gas,1780
Consumable Fuels,1498
Commercial Services & Supplies,1484
Metals & Minerals Trading,1285
Minerals & Mining,1156
Diversified Metals,1036
Entertainment,819
Household Products,581
Diversified,559
Cigarettes & Tobacco Products,483
Other Consumer Services,441
Telecom - Equipment & Accessories,417
Healthcare Equipment & Supplies,416
Consumer Non Durables,354
Pharmaceuticals,352
Software,340
Auto,315
Pharmaceuticals And Biotechnology,260
Auto Ancillaries,259
Chemicals And Petrochemicals,243
Cement And Cement Products,217
Cement,192
Construction Project,185
"Paper, Forest & Jute Products",177
It - Hardware,168
Aerospace And Defense,163
Other Utilities,159
"Agricultural, Commercial And Constr",157
Agricultural Food And Other Product,126
Alternative Investment Fund,120
Mutual Fund,119
Units Of Real Estate Investment Trust (reits),114
Fertilizers And Agrochemicals,112
Transportation,108
Industrial Capital Goods,106
Chemicals,97
Media & Entertainment,91
Units Of Infrastructure Investment Trusts,90
Minerals/mining,81
Minerals And Mining,75
Miscellaneous,74
Power.,68
Textiles And Apparels,67
Financial Services,62
Foreign Security,60
Gas.,60
Pesticides,59
Technology,55
Media,52
Metals And Minerals Trading,51
Commercial Services And Supplies,48
Engineering Services,46
Mutual Funds,46
Fertilisers,44
Overseas Mutual Fund,44
Semiconductors,44
Basic Materials,43
Consumer Cyclical,43
Energy,42
Mutual Fund/etf,42
Communication Services,41
Industrials,41
Healthcare,40
Utilities,40
Consumer Defensive,38
Interactive Media & Services,37
Petroleum Products.,36
Semiconductor Materials & Equipment,36
Systems Software,36
Communications Equipment,35
Textile Products,32
Textiles - Cotton,32
Etf Units,30
Real Estate,30
Application Software,29
Index Options,28
Internal - Mutual Fund Units,28
Apparel Retail,27
Health Care Equipment,27
Broadline Retail,26
Stock Future,26
"Technology Hardware, Storage & Peripherals",26
"Hotels, Resorts & Cruise Lines",24
Index Futures,24
Movies & Entertainment,24
Transaction & Payment Processing Services,23
Packaged Foods & Meats,22
Trading,22
Building Products,21
It Consulting & Other Services,21
Health Care Technology,20
Unclassified,20
Cigarettes And Tobacco Products,19
Automobile Manufacturers,18
Biotechnology,18
Exchange Traded Funds,18
International - Mutual Fund Units,18
Internet & Direct Marketing Retail,18
Restaurants,18
Soft Drinks & Non-Alcoholic Beverages,17
Electrical Components & Equipment,16
Electronic Components,16
Index Futures/options,16
Industrial Conglomerates,16
Industrial Machinery & Supplies & Components,16
Life Sciences Tools & Services,16
Wireless Telecommunication Services,16
Automotive Retail,15
Diversified Support Services,15
Media And Entertainment,15
Services,15
Trading Companies & Distributors,15
Electronic Equipment & Instruments,14
